company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
Mythic,mythic.us,https://www.linkedin.com/company/mythic,Charlotte,United States,78,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
B&a Reps,ba-reps.com,https://www.linkedin.com/company/ba-reps,New York,United States,53,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
The Hype Agency,thehypeagency.com,https://www.linkedin.com/company/the-hype-agency,Salem,United States,215,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Wikot,wikot.com,https://www.linkedin.com/company/wikot,Miami,United States,50,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Adfero,adfero.com,https://www.linkedin.com/company/adfero-group,Washington,United States,56,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Capsule,capsule.us,https://www.linkedin.com/company/capsule,Minneapolis,United States,35,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
"Rosemont Media, Llc",rosemontmedia.com,https://www.linkedin.com/company/rosemont-media-llc,San Diego,United States,38,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Ignis,ignis.co.uk,https://www.linkedin.com/company/ignis-ltd,London,United Kingdom,61,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Copper Consultancy,copperconsultancy.com,https://www.linkedin.com/company/copper-consultancy,London,United Kingdom,97,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
OIC Group,oic.it,https://www.linkedin.com/company/o-i-c-srl,Firenze,Italy,148,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Hackeragency,hal2l.com,https://www.linkedin.com/company/hacker-group,Seattle,United States,224,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Bdsa,bdsa.com,https://www.linkedin.com/company/bdsa-insights,Louisville,United States,74,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Républik,republikgroup.fr,https://www.linkedin.com/company/republikgroup,Suresnes,France,96,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Devito Verdi,devitoverdi.com,https://www.linkedin.com/company/devitoverdi,New York,United States,45,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Magnetic Creative,magneticcreative.com,https://www.linkedin.com/company/magnetic-creative,Temecula,United States,51,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
